FacilityType,Total_Count,Traveller_Need,Availability_Rate
Swimming pool,82,Baby_Change,0.35365853658536583
Swimming pool,82,Parking,0.7804878048780488
Swimming pool,82,Shower,0.6951219512195121
Swimming pool,82,Dump_Point,0
Swimming pool,82,Drinking_Water,0.3048780487804878
Swimming pool,82,TwentyFour_Hour,0.07317073170731707
Train station,635,Accessible,0.7354330708661417
Train station,635,Baby_Change,0.3102362204724409
Train station,635,Parking,0.7417322834645669
Train station,635,Shower,0.006299212598425197
Train station,635,Dump_Point,0.0031496062992125984
Train station,635,Drinking_Water,0.08818897637795275
Train station,635,TwentyFour_Hour,0.13858267716535433
